FW Layer;Batch;Time(s);Performance(imgs/s)
Conv2D;1;0.0012;804.89
BatchNorm2D;1;0.0007;1370.24
ReLU;1;0.0001;12409.18
MaxPool2D;1;0.0011;910.42
Conv2D;1;0.0087;114.87
BatchNorm2D;1;0.0005;1896.16
ReLU;1;0.0001;19065.02
MaxPool2D;1;0.0042;236.58
Conv2D;1;0.0009;1061.04
BatchNorm2D;1;0.0003;3013.15
ReLU;1;0.0000;37117.73
MaxPool2D;1;0.0018;552.17
Flatten;1;0.0000;73584.28
Dense;1;0.0066;150.59
ReLU;1;0.0000;39945.75
Dropout;1;0.0001;8559.80
Dense;1;0.0001;14266.34
Softmax;1;0.0002;5745.62
