FW Layer;Batch;Time(s);Performance(imgs/s)
Conv2D;1;0.0020;502.49
BatchNorm2D;1;0.0010;1042.32
ReLU;1;0.0001;7182.03
MaxPool2D;1;0.0007;1361.79
Conv2D;1;0.0141;71.01
BatchNorm2D;1;0.0005;1867.46
ReLU;1;0.0001;14820.86
MaxPool2D;1;0.0053;188.03
Conv2D;1;0.0190;52.67
BatchNorm2D;1;0.0003;3187.16
ReLU;1;0.0000;24528.09
MaxPool2D;1;0.0007;1431.50
Flatten;1;0.0000;99864.38
Dense;1;0.0089;112.78
ReLU;1;0.0000;53092.46
Dropout;1;0.0001;8456.26
Dense;1;0.0001;10485.76
Softmax;1;0.0002;4911.36
