FW Layer;Batch;Time(s);Performance(imgs/s)
Conv2D;1;0.0012;840.88
BatchNorm2D;1;0.0007;1344.76
ReLU;1;0.0001;11683.30
MaxPool2D;1;0.0015;677.16
Conv2D;1;0.0140;71.23
BatchNorm2D;1;0.0005;2099.25
ReLU;1;0.0001;15768.06
MaxPool2D;1;0.0074;134.60
Conv2D;1;0.0050;201.48
BatchNorm2D;1;0.0003;3305.20
ReLU;1;0.0000;27594.11
MaxPool2D;1;0.0068;147.24
Flatten;1;0.0000;123361.88
Dense;1;1.0391;0.96
ReLU;1;0.0001;13662.23
Dropout;1;0.0001;6765.01
Dense;1;0.0472;21.20
Softmax;1;0.0003;2974.68
