FW Layer;Batch;Time(s);Performance(imgs/s)
Conv2D;1;0.9279;1.08
BatchNorm2D;1;0.0006;1731.75
ReLU;1;0.0001;13981.01
MaxPool2D;1;0.0014;701.39
Conv2D;1;2.8447;0.35
BatchNorm2D;1;0.0003;3542.49
ReLU;1;0.0000;40721.40
MaxPool2D;1;0.0007;1513.10
Conv2D;1;1.3329;0.75
BatchNorm2D;1;0.0003;3823.43
ReLU;1;0.0000;57456.22
MaxPool2D;1;0.0006;1696.04
Flatten;1;0.0000;71089.90
Dense;1;0.6203;1.61
ReLU;1;0.0001;11184.81
Dropout;1;0.0001;6921.29
Dense;1;0.0467;21.41
Softmax;1;0.0002;4466.78
