FW Layer;Batch;Time(s);Performance(imgs/s)
Conv2D;1;0.0014;727.29
BatchNorm2D;1;0.0007;1371.58
ReLU;1;0.0001;12409.18
MaxPool2D;1;0.0015;666.19
Conv2D;1;0.0128;77.83
BatchNorm2D;1;0.0005;1930.19
ReLU;1;0.0001;15252.01
MaxPool2D;1;0.0064;157.27
Conv2D;1;0.0119;84.02
BatchNorm2D;1;0.0003;2943.37
ReLU;1;0.0000;24244.53
MaxPool2D;1;0.0003;3189.58
Flatten;1;0.0000;102300.10
Dense;1;1.0510;0.95
ReLU;1;0.0001;13888.42
Dropout;1;0.0001;6831.11
Dense;1;0.0471;21.22
Softmax;1;0.0004;2592.28
